"RT_problem","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","fix_dur","practice","problem_type","response","subject_nr","time_feedback","time_fixation","time_fixation_end","time_keypad","time_problem","trial"
"4955","1238","two","two","0","1","5","2x - 4 = 6","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","439","yes","5","5","1","27310","20663","28307","26061","21105","1"
"1331","655","one","one","0","1","1","8x = 8","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","537","yes","4","1","1","31869","29332","32866","31204","29872","2"
"1612","663","one","one","0","1","1","3x = 3","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","505","yes","4","1","1","36685","33889","37682","36013","34400","3"
"2719","982","two","two","0","1","4","9x + 9 = 45","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","549","yes","5","4","1","42972","38709","43969","41981","39260","4"
"1861","1367","one","one","0","1","9","6x = 54","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","485","yes","4","9","1","48724","44999","49721","47349","45486","5"
"831","1630","two","two","0","0","4","3x - 2 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","431","yes","5","2","1","53653","50747","54650","52013","51180","6"
"1232","686","minimal","one","0","1","1","x + 8 = 9","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","536","yes","2","1","1","58148","55681","59145","57453","56219","7"
"2390","892","minimal","one","0","1","5","x + 2 = 7","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","417","yes","2","5","1","63883","60170","64881","62983","60589","8"
"1397","1047","minimal","one","0","1","7","x + 1 = 8","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","433","yes","2","7","1","68805","65912","69802","67749","66351","9"
"2456","1286","minimal","one","1","1","7","x - 5 = 2","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","488","no","2","7","1","83067","78825","84064","81773","79315","10"
"1229","830","minimal","one","1","1","6","x - 3 = 3","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","463","no","2","6","1","87628","85092","88625","86789","85558","11"
"2090","869","one","one","1","1","6","7x = 42","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","450","no","4","6","1","93078","89652","94075","92198","90105","12"
"3009","1294","minimal","one","1","1","5","x - 4 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","588","no","2","5","1","100012","95105","101009","98709","95698","13"
"4056","1278","two","two","1","1","6","8x - 3 = 45","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","504","no","5","6","1","107892","102037","108889","106605","102547","14"
"3774","854","two","two","1","1","7","8x + 9 = 65","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","533","no","5","7","1","115092","109919","116090","114229","110453","15"
"1223","750","minimal","one","1","1","2","x - 1 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","433","no","2","2","1","119532","117109","120529","118773","117548","16"
"4068","1150","two","two","1","1","9","8x + 4 = 76","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","533","no","5","9","1","127323","121559","128320","126165","122095","17"
"4043","798","minimal","one","1","1","2","x + 3 = 5","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","489","no","2","2","1","134692","129349","135689","133885","129840","18"
"1737","622","one","one","1","1","1","7x = 7","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","594","no","4","1","1","139684","136717","140681","139053","137315","19"
"5001","0","two","two","1","0","3","7x - 1 = 20","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","412","no","5","None","1","147129","141705","148126","139053","142120","20"
"3251","918","two","two","1","1","8","2x + 8 = 24","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","509","no","5","8","1","153844","149151","154842","152917","149664","21"
"1155","814","one","one","1","1","7","2x = 14","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","549","no","4","7","1","158395","155865","159392","157573","156416","22"
"2808","678","minimal","one","1","1","6","x - 1 = 5","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","549","no","2","6","1","164469","160420","165466","163781","160971","23"
"1448","1229","minimal","one","1","1","8","x + 1 = 9","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","456","no","2","8","1","169636","166488","170633","168398","166947","24"
"3796","999","two","two","1","1","8","2x - 4 = 12","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","430","no","5","8","1","176901","171663","177898","175892","172095","25"
"1995","1518","one","one","1","1","7","4x = 28","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","437","no","4","7","1","182884","178918","183881","181357","179360","26"
"3762","1286","two","two","1","1","1","3x + 9 = 12","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","418","no","5","1","1","190388","184909","191385","189093","185329","27"
"3732","990","two","two","1","1","8","5x + 7 = 47","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","450","no","5","8","1","197596","192408","198593","196597","192863","28"
"5001","0","minimal","one","1","0","8","x + 2 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","415","no","2","None","1","205050","199623","206048","196597","200040","29"
"3661","1358","two","two","1","1","8","2x + 6 = 22","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","423","no","5","8","1","212533","207074","213530","211165","207502","30"
"2216","1974","one","one","1","1","4","6x = 24","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","415","no","4","4","1","219174","214554","220171","217189","214971","31"
"1952","718","minimal","one","1","1","7","x + 1 = 8","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","403","no","2","7","1","224284","221197","225281","223557","221603","32"
"2846","605","one","one","1","1","1","9x = 9","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","448","no","4","1","1","230219","226306","231216","229605","226757","33"
"1582","726","one","one","1","1","9","8x = 72","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","569","no","4","9","1","235131","232242","236128","234397","232813","34"
"2134","958","one","one","1","1","5","4x = 20","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","438","no","4","5","1","240701","237156","241698","239733","237597","35"
"1191","783","minimal","one","1","1","2","x + 8 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","560","no","2","2","1","245281","242730","246278","244484","243292","36"
"904","791","one","one","1","1","2","8x = 16","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","414","no","4","2","1","249427","247304","250424","248628","247723","37"
"1487","1470","minimal","one","1","1","9","x + 1 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","395","no","2","9","1","254811","251447","255808","253333","251844","38"
"2684","694","two","two","1","1","7","8x - 5 = 51","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","483","no","5","7","1","260715","256837","261712","260012","257326","39"
"1811","774","minimal","one","1","1","2","x + 8 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","584","no","2","2","1","265924","262742","266921","265141","263328","40"
"2549","775","one","one","1","1","3","6x = 18","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","541","no","4","3","1","271828","267947","272825","271044","268494","41"
"2171","1109","minimal","one","1","1","3","x - 1 = 2","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","447","no","2","3","1","277596","273851","278594","276477","274304","42"
"2478","1846","two","two","1","0","7","6x - 6 = 36","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","575","no","5","6","1","284531","279619","285528","282676","280196","43"
"1634","1390","one","one","1","1","2","9x = 18","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","434","no","4","2","1","290037","286561","291034","288637","287001","44"
"3923","1494","two","two","1","1","4","4x - 3 = 13","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","537","no","5","4","1","298027","292061","299024","296525","292600","45"
"1463","758","one","one","1","1","5","2x = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","593","no","4","5","1","302895","300049","303892","302109","300644","46"
"1231","1014","one","one","1","1","4","7x = 28","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","398","no","4","4","1","307583","304923","308579","306557","305324","47"
"3799","1430","two","two","1","1","7","7x + 6 = 55","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","412","no","5","7","1","315252","309599","316249","313813","310012","48"
"950","646","minimal","one","1","1","2","x - 1 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","426","no","2","2","1","319316","317281","320313","318661","317709","49"
"2985","934","two","two","1","1","3","9x + 2 = 29","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","446","no","5","3","1","325723","321341","326722","324780","321793","50"
"2902","918","two","two","1","1","6","9x - 1 = 53","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","539","no","5","6","1","332123","327751","333120","331196","328292","51"
"2333","1126","one","one","1","1","8","6x = 48","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","401","no","4","8","1","338029","334151","339026","336893","334558","52"
"2178","1125","two","two","1","1","8","2x - 2 = 14","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","453","no","5","8","1","343829","340057","344826","342693","340512","53"
"3394","830","minimal","one","1","1","2","x + 3 = 5","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","446","no","2","2","1","350541","345854","351538","349700","346304","54"
"1228","822","one","one","1","1","3","3x = 9","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","455","no","4","3","1","355084","352566","356081","354252","353023","55"
"2832","702","minimal","one","1","1","4","x - 1 = 3","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","508","no","2","4","1","361163","357106","362160","360453","357619","56"
"1242","1110","one","one","1","1","3","3x = 9","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","457","no","4","3","1","366012","363187","367009","364892","363648","57"
"2310","1758","one","one","1","1","6","9x = 54","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","547","no","4","6","1","372660","368032","373657","370893","368581","58"
"2805","966","minimal","one","1","1","9","x - 6 = 3","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","495","no","2","9","1","378963","374684","379960","377989","375182","59"
"2933","703","two","two","1","1","2","2x + 4 = 8","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","468","no","5","2","1","385107","380989","386104","384396","381462","60"
"806","1046","one","one","1","1","4","5x = 20","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","530","no","4","4","1","389532","387132","390530","388476","387668","61"
"3699","1438","one","one","1","1","7","6x = 42","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","454","no","4","7","1","397156","391551","398153","395709","392008","62"
"1003","877","one","one","1","1","2","7x = 14","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","460","no","4","2","1","401539","399183","402536","400653","399647","63"
"1856","894","two","two","1","1","3","8x - 1 = 23","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","467","no","5","3","1","406796","403566","407794","405893","404035","64"
"3923","1310","two","two","1","0","5","7x - 1 = 34","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","489","no","5","6","1","414556","408821","415554","413237","409312","65"
"3703","1014","minimal","one","1","1","6","x + 2 = 8","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","591","no","2","6","1","421907","416584","422904","420885","417180","66"
"1716","886","minimal","one","1","1","6","x + 4 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","430","no","2","6","1","426980","423934","427977","426084","424366","67"
"1256","1374","minimal","one","1","1","9","x - 1 = 8","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","490","no","2","9","1","432139","429006","433136","430756","429498","68"
"2401","853","two","two","1","1","9","9x - 2 = 79","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","465","no","5","9","1","437899","434166","438897","437037","434633","69"
"1684","542","minimal","one","2","1","1","x + 7 = 8","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","492","no","2","1","1","509052","506317","510049","508501","506815","70"
"953","854","one","one","2","1","5","9x = 45","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","434","no","4","5","1","513339","511081","514336","512476","511521","71"
"1972","678","two","two","2","0","3","2x - 1 = 5","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","495","no","5","2","1","518524","515362","519521","517836","515862","72"
"3294","719","minimal","one","2","0","9","x - 6 = 3","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","445","no","2","8","1","525020","520547","526017","524292","520997","73"
"1818","1063","two","two","2","1","4","7x - 1 = 27","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","488","no","5","4","1","530428","527046","531425","529356","527536","74"
"2064","710","minimal","one","2","1","7","x - 3 = 4","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","594","no","2","7","1","535836","532452","536834","535116","533050","75"
"2107","1150","minimal","one","2","1","7","x - 4 = 3","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","519","no","2","7","1","541654","537858","542651","540492","538383","76"
"5000","0","two","two","2","0","3","6x + 4 = 22","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","427","no","5","None","1","549115","543675","550112","540492","544106","77"
"1794","942","one","one","2","1","9","8x = 72","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","587","no","4","9","1","554474","551139","555471","553524","551728","78"
"1426","878","one","one","2","1","6","4x = 24","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","582","no","4","6","1","559403","556501","560400","558516","557088","79"
"2485","951","one","one","2","1","7","4x = 28","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","461","no","4","7","1","565341","561429","566340","564380","561893","80"
"1549","958","one","one","2","1","6","5x = 30","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","444","no","4","6","1","570332","567363","571329","569364","567813","81"
"1206","1782","one","one","2","1","3","9x = 27","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","437","no","4","3","1","575796","572356","576793","574004","572796","82"
"2318","1286","two","two","2","1","4","9x + 9 = 45","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","476","no","5","4","1","581907","577816","582904","580612","578293","83"
"1391","1070","minimal","one","2","1","9","x + 1 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","430","no","2","9","1","586836","583931","587833","585756","584363","84"
"1839","822","minimal","one","2","1","9","x - 5 = 4","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","449","no","2","9","1","591980","588856","592977","591148","589307","85"
"2473","790","two","two","2","1","7","5x + 1 = 36","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","495","no","5","7","1","597772","593999","598770","596972","594497","86"
"5001","0","two","two","2","0","3","4x + 5 = 17","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","574","no","5","None","1","605384","599798","606381","596972","600374","87"
"865","846","one","one","2","0","1","3x = 3","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","456","no","4","3","1","609594","607411","610590","608740","607873","88"
"1472","1030","one","one","2","1","9","3x = 27","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","457","no","4","9","1","614596","611619","615593","613556","612082","89"
"4619","1278","two","two","2","0","9","7x - 7 = 56","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","502","no","5","8","1","623034","616623","624031","621748","617127","90"
"3543","837","minimal","one","2","1","5","x + 1 = 6","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","430","no","2","5","1","629883","625059","630880","629037","625491","91"
"1946","885","minimal","one","2","1","6","x - 3 = 3","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","573","no","2","6","1","635323","631904","636320","634428","632480","92"
"1054","838","one","one","2","1","3","5x = 15","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","562","no","4","3","1","639818","637352","640815","638972","637916","93"
"989","909","minimal","one","2","1","4","x - 2 = 2","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","427","no","2","4","1","644180","641839","645177","643261","642269","94"
