"RT_problem","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","fix_dur","practice","problem_type","response","subject_nr","time_feedback","time_fixation","time_fixation_end","time_keypad","time_problem","trial"
"4846","1286","two","two","2","0","3","4x - 1 = 11","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","576","no","5","4","1","652934","646206","653932","651636","646788","95"
"2862","878","minimal","one","2","1","4","x - 3 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","510","no","2","4","1","659226","654963","660223","658339","655475","96"
"939","734","one","one","2","1","3","5x = 15","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","549","no","4","3","1","663484","661248","664481","662740","661799","97"
"1218","622","one","one","2","1","1","7x = 7","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","475","no","4","1","1","667836","665507","668833","667204","665984","98"
"2235","862","one","one","2","0","4","6x = 24","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","495","no","4","3","1","673466","669858","674463","672596","670359","99"
"1567","918","one","one","2","1","7","8x = 56","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","415","no","4","7","1","678404","675490","679401","677476","675907","100"
"1471","646","two","two","2","1","1","7x + 1 = 8","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","566","no","5","1","1","683132","680430","684129","682476","681003","101"
"2267","742","two","two","2","1","2","4x - 1 = 7","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","440","no","5","2","1","688618","685156","689616","687867","685598","102"
"3388","1247","minimal","one","2","1","5","x + 4 = 9","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","513","no","2","5","1","695802","690643","696799","694547","691158","103"
"4382","1045","two","two","2","1","3","9x - 1 = 26","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","523","no","5","3","1","703787","697822","704785","702733","698348","104"
"1457","694","one","one","2","1","7","8x = 56","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","461","no","4","7","1","708446","705815","709443","707739","706280","105"
"1772","1055","one","one","2","1","6","8x = 48","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","492","no","4","6","1","713802","710469","714799","712739","710966","106"
"2803","862","minimal","one","2","1","1","x + 4 = 5","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","503","no","2","1","1","720011","715829","721008","719140","716335","107"
"888","2000","one","one","2","0","8","3x = 24","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","536","no","4","None","1","725477","722039","726474","723468","722577","108"
"1881","791","minimal","one","2","1","6","x + 1 = 7","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","581","no","2","6","1","730770","727504","731767","729971","728089","109"
"5000","0","one","one","2","0","4","8x = 32","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","395","no","4","None","1","738199","732793","739197","729971","733190","110"
"3925","878","two","two","2","1","4","9x + 4 = 40","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","561","no","5","4","1","745603","740226","746600","744716","740789","111"
"3678","710","two","two","2","1","3","6x - 2 = 16","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","515","no","5","3","1","752547","747631","753544","751828","748148","112"
"2224","885","two","two","2","1","2","6x - 1 = 11","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","399","no","5","2","1","758098","754571","759094","757204","754977","113"
"4160","1053","two","two","2","1","3","8x + 5 = 29","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","551","no","5","3","1","765898","760121","766895","764836","760674","114"
"3465","1038","one","one","2","1","6","3x = 18","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","480","no","4","6","1","772926","767922","773923","771875","768408","115"
"1710","1086","minimal","one","2","1","2","x + 4 = 6","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","560","no","2","2","1","778315","774946","779312","777220","775508","116"
"3377","838","minimal","one","2","1","3","x - 2 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","470","no","2","3","1","785042","780340","786039","784195","780817","117"
"1388","766","minimal","one","2","1","2","x - 1 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","413","no","2","2","1","789651","787066","790648","788875","787485","118"
"1587","686","one","one","2","1","1","4x = 4","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","511","no","4","1","1","794474","791677","795471","793779","792190","119"
"4554","879","two","two","2","1","5","3x - 4 = 11","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","540","no","5","5","1","802482","796493","803479","801595","797040","120"
"1853","726","minimal","one","2","1","1","x + 9 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","403","no","2","1","1","807508","804510","808505","806771","804916","121"
"5001","0","two","two","2","0","9","6x - 3 = 51","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","497","no","5","None","1","815044","809533","816041","806771","810034","122"
"1935","742","two","two","2","1","3","7x + 7 = 28","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","433","no","5","3","1","820194","817067","821191","819443","817506","123"
"2568","1438","two","two","2","0","8","9x - 1 = 71","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","499","no","5","7","1","826738","822220","827735","825291","822722","124"
"1672","982","two","two","2","1","8","9x - 2 = 70","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","531","no","5","8","1","831966","828761","832963","830972","829298","125"
"2176","1037","one","one","2","1","3","9x = 27","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","563","no","4","3","1","837779","833988","838776","836732","834553","126"
"1418","1110","minimal","one","2","1","7","x - 6 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","450","no","2","7","1","842797","839803","843794","841676","840256","127"
"2522","1134","minimal","one","2","1","6","x + 1 = 7","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","544","no","2","6","1","849042","844826","850039","847899","845375","128"
"2366","974","minimal","one","2","1","9","x + 1 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","489","no","2","9","1","854914","851070","855912","853931","851563","129"
"967","1158","one","one","3","0","6","3x = 18","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","422","no","4","8","1","920403","917839","921400","919236","918267","130"
"895","638","minimal","one","3","1","4","x + 1 = 5","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","434","no","2","4","1","924410","922426","925407","923763","922866","131"
"3506","806","two","two","3","1","9","5x - 6 = 39","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","489","no","5","9","1","931258","926443","932255","930443","926935","132"
"2053","1254","two","two","3","1","6","7x - 1 = 41","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","478","no","5","6","1","937081","933284","938080","935819","933764","133"
"1061","622","one","one","3","1","8","8x = 64","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","520","no","4","8","1","941316","939099","942314","940683","939620","134"
"1437","1079","one","one","3","1","6","2x = 12","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","412","no","4","6","1","946283","943340","947280","945195","943756","135"
"2151","965","two","two","3","1","4","7x - 3 = 25","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","466","no","5","4","1","951906","948310","952903","950932","948778","136"
"894","1254","minimal","one","3","1","2","x - 1 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","520","no","2","2","1","956618","953935","957615","955355","954459","137"
"1905","910","one","one","3","1","3","2x = 6","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","413","no","4","3","1","961882","958637","962879","960963","959056","138"
"2722","1366","two","two","3","1","5","7x - 2 = 33","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","570","no","5","5","1","968578","963907","969575","967204","964480","139"
"2457","1134","minimal","one","3","1","5","x - 4 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","410","no","2","5","1","974618","970603","975615","973475","971016","140"
"3757","798","two","two","3","1","5","4x - 3 = 17","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","475","no","5","5","1","981686","976637","982684","980875","977116","141"
"3795","1310","two","two","3","1","4","8x + 9 = 41","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","575","no","5","4","1","989402","983710","990399","988084","984287","142"
"1247","606","one","one","3","1","1","7x = 7","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","479","no","4","1","1","993770","991426","994767","993155","991907","143"
"2791","1238","one","one","3","1","3","7x = 21","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","571","no","4","3","1","1000411","995796","1001408","999163","996370","144"
"1512","1238","minimal","one","3","0","9","x + 1 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","447","no","2","1","1","1005650","1002436","1006647","1004403","1002889","145"
"1366","646","one","one","3","1","7","5x = 35","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","569","no","4","7","1","1010274","1007676","1011271","1009619","1008251","146"
"2346","942","two","two","3","1","5","8x - 1 = 39","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","421","no","5","5","1","1016027","1012300","1017024","1015075","1012727","147"
"3013","654","two","two","3","1","6","8x + 2 = 50","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","428","no","5","6","1","1022161","1018054","1023158","1021499","1018484","148"
"1173","654","one","one","3","1","7","5x = 35","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","488","no","4","7","1","1026514","1024185","1027511","1025851","1024676","149"
"2181","878","one","one","3","0","9","7x = 63","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","457","no","4","7","1","1032065","1028535","1033062","1031179","1028996","150"
"1056","1021","minimal","one","3","1","4","x + 3 = 7","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","464","no","2","4","1","1036647","1034087","1037644","1035612","1034553","151"
"919","942","minimal","one","3","1","6","x + 4 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","489","no","2","6","1","1041035","1038671","1042034","1040083","1039162","152"
"1075","942","minimal","one","3","1","3","x + 2 = 5","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","476","no","2","3","1","1045561","1043056","1046558","1044611","1043534","153"
"1101","1782","one","one","3","1","3","4x = 12","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","417","no","4","3","1","1050897","1047584","1051894","1049107","1048004","154"
"2380","1269","minimal","one","3","1","4","x - 2 = 2","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","586","no","2","4","1","1057170","1052921","1058167","1055892","1053509","155"
"923","821","one","one","3","1","2","9x = 18","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","560","no","4","2","1","1061515","1059194","1062512","1060684","1059758","156"
"3342","886","two","two","3","1","4","8x - 3 = 29","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","576","no","5","4","1","1068361","1063540","1069358","1067467","1064123","157"
"5000","0","two","two","3","0","9","2x - 4 = 14","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","441","no","5","None","1","1075838","1070385","1076835","1067467","1070828","158"
"2527","941","two","two","3","1","4","8x + 4 = 36","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","409","no","5","4","1","1081754","1077860","1082752","1080804","1078275","159"
"2724","774","one","one","3","1","4","6x = 24","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","552","no","4","4","1","1087849","1083783","1088846","1087067","1084341","160"
"2146","814","one","one","3","1","4","5x = 20","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","426","no","4","4","1","1093279","1089875","1094276","1092450","1090303","161"
"1136","830","one","one","3","1","4","7x = 28","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","429","no","4","4","1","1097714","1095306","1098711","1096875","1095737","162"
"5000","0","two","two","3","0","6","4x - 3 = 21","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","565","no","5","None","1","1105322","1099742","1106319","1096875","1100313","163"
"3303","1085","two","two","3","1","3","4x - 2 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","518","no","5","3","1","1112265","1107345","1113262","1111171","1107866","164"
"1670","926","minimal","one","3","1","9","x - 2 = 7","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","529","no","2","9","1","1117433","1114291","1118430","1116499","1114827","165"
"5000","0","two","two","3","0","9","9x - 3 = 78","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","590","no","5","None","1","1125058","1119456","1126055","1116499","1120049","166"
"1536","998","minimal","one","3","1","8","x - 2 = 6","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","552","no","2","8","1","1130186","1127082","1131183","1129179","1127641","167"
"3209","798","minimal","one","3","1","3","x - 2 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","496","no","2","3","1","1136729","1132210","1137727","1135923","1132712","168"
"2736","1902","two","two","3","1","4","3x - 3 = 9","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","576","no","5","4","1","1143987","1138755","1144984","1142075","1139337","169"
"740","613","one","one","3","0","8","5x = 40","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","464","no","4","4","1","1147841","1146011","1148838","1147220","1146477","170"
"5000","0","one","one","3","0","3","3x = 9","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","435","no","4","None","1","1155322","1149868","1156319","1147220","1150309","171"
"2261","1102","minimal","one","3","1","6","x - 4 = 2","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","500","no","2","6","1","1161226","1157349","1162223","1160115","1157852","172"
"5001","0","two","two","3","0","7","4x + 8 = 36","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","585","no","5","None","1","1168850","1163253","1169847","1160115","1163840","173"
"1215","630","minimal","one","3","1","1","x + 7 = 8","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","403","no","2","1","1","1173138","1170876","1174135","1172499","1171282","174"
"2193","526","two","two","3","1","1","6x + 5 = 11","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","489","no","5","1","1","1178386","1175165","1179383","1177850","1175656","175"
"3817","774","two","two","3","1","5","9x + 3 = 48","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","478","no","5","5","1","1185482","1180400","1186479","1184699","1180880","176"
"1264","646","minimal","one","3","1","2","x + 6 = 8","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","414","no","2","2","1","1189841","1187504","1190838","1189187","1187921","177"
"1305","910","minimal","one","3","1","4","x - 3 = 1","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","415","no","2","4","1","1194513","1191870","1195510","1193595","1192288","178"
"1107","918","minimal","one","3","1","9","x + 1 = 10","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","547","no","2","9","1","1199122","1196536","1200119","1198195","1197086","179"
"1264","1622","minimal","one","3","0","6","x - 3 = 3","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","456","no","2","9","1","1204506","1201147","1205503","1202875","1201609","180"
"2345","806","two","two","3","1","3","2x + 8 = 14","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","517","no","5","3","1","1210213","1206527","1211210","1209395","1207048","181"
"1263","789","one","one","3","1","8","7x = 56","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","421","no","4","8","1","1214729","1212241","1215726","1213931","1212666","182"
"1225","622","minimal","one","3","1","1","x + 3 = 4","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","484","no","2","1","1","1219099","1216753","1220097","1218467","1217240","183"
"1071","1022","minimal","one","3","1","5","x + 1 = 6","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","398","no","2","5","1","1223637","1221128","1224634","1222603","1221530","184"
"872","854","one","one","3","1","4","8x = 32","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","479","no","4","4","1","1227874","1225656","1228871","1227011","1226137","185"
"859","781","one","one","3","1","7","3x = 21","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","459","no","4","7","1","1232010","1229894","1233007","1231219","1230358","186"
"736","559","one","one","3","1","1","6x = 6","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","485","no","4","1","1","1235825","1234033","1236822","1235258","1234521","187"
"2375","558","two","two","3","1","1","7x + 8 = 15","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","449","no","5","1","1","1241241","1237845","1242239","1240675","1238298","188"
"745","918","minimal","one","3","1","3","x + 4 = 7","Fri Oct 18 10:36:59 2024","Algebra-3.osexp","456","no","2","3","1","1245401","1243267","1246398","1244475","1243728","189"
